Time,Temperature,Frequency,Magnitude
0.0000,18.22,0.0000,0.0036
1.0000,18.14,0.0556,0.2949
2.0000,18.22,0.1111,0.5812
3.0000,18.22,0.1667,0.5456
4.0000,18.22,0.2222,1.7218
5.0000,18.22,0.2778,0.7745
6.0000,18.22,0.3333,0.6556
7.0000,18.14,0.3889,0.8259
8.0000,18.14,0.4444,0.5165
9.0000,18.22,0.5000,0.6474
10.0000,18.22,0.5556,0.2380
11.0000,18.22,0.6111,0.6168
12.0000,18.22,0.6667,0.0464
13.0000,18.22,0.7222,0.3847
14.0000,18.14,0.7778,0.5698
15.0000,18.22,0.8333,0.2583
16.0000,18.22,0.8889,0.3431
17.0000,18.22,0.9444,0.1468
18.0000,18.22,1.0000,0.2506
19.0000,18.22,1.0556,0.3906
20.0000,18.22,1.1111,0.3860
21.0000,18.22,1.1667,0.1547
22.0000,18.22,1.2222,0.2545
23.0000,18.22,1.2778,1.3030
24.0000,18.22,1.3333,0.1499
25.0000,18.22,1.3889,0.3104
26.0000,18.22,1.4444,0.2214
27.0000,18.22,1.5000,0.6137
28.0000,18.22,1.5556,0.4059
29.0000,18.22,1.6111,0.3247
30.0000,18.22,1.6667,0.3661
31.0000,18.22,1.7222,0.1306
32.0000,18.22,1.7778,0.3010
33.0000,18.22,1.8333,0.3508
34.0000,18.30,1.8889,0.2677
35.0000,18.22,1.9444,0.5083
36.0000,18.22,2.0000,0.2204
37.0000,18.30,2.0556,0.2599
38.0000,18.22,2.1111,0.4117
39.0000,18.22,2.1667,0.0761
40.0000,18.22,2.2222,0.2543
41.0000,18.22,2.2778,0.1308
42.0000,18.22,2.3333,0.3924
43.0000,18.22,2.3889,0.2908
44.0000,18.22,2.4444,0.3223
45.0000,18.14,2.5000,0.3991
46.0000,18.22,2.5556,0.0261
47.0000,18.14,2.6111,0.2331
48.0000,18.14,2.6667,0.4733
49.0000,18.22,2.7222,0.2005
50.0000,18.22,2.7778,0.6855
51.0000,18.14,2.8333,0.2991
52.0000,18.14,2.8889,0.2712
53.0000,18.14,2.9444,0.7747
54.0000,18.14,3.0000,0.1418
55.0000,18.14,3.0556,0.3472
56.0000,18.22,3.1111,0.4540
57.0000,18.22,3.1667,0.7451
58.0000,18.22,3.2222,0.9084
59.0000,18.30,3.2778,0.4994
60.0000,18.22,3.3333,0.2880
61.0000,18.22,3.3889,0.3150
62.0000,18.30,3.4444,0.2512
63.0000,18.22,3.5000,0.1743
64.0000,18.22,3.5556,0.5993
65.0000,18.22,3.6111,0.8045
66.0000,18.22,3.6667,0.5038
67.0000,18.30,3.7222,0.4708
68.0000,18.22,3.7778,0.3269
69.0000,18.22,3.8333,0.6895
70.0000,18.22,3.8889,0.4473
71.0000,18.22,3.9444,0.1703
72.0000,18.22,4.0000,0.1852
73.0000,18.22,4.0556,0.5889
74.0000,18.22,4.1111,0.5154
75.0000,18.30,4.1667,0.1501
76.0000,18.22,4.2222,0.0520
77.0000,18.22,4.2778,0.4127
78.0000,18.22,4.3333,0.1278
79.0000,18.14,4.3889,0.5865
80.0000,18.22,4.4444,0.4953
81.0000,18.22,4.5000,0.3611
82.0000,18.22,4.5556,0.3656
83.0000,18.22,4.6111,0.3446
84.0000,18.22,4.6667,0.3829
85.0000,18.14,4.7222,0.3898
86.0000,18.22,4.7778,0.1652
87.0000,18.22,4.8333,0.4348
88.0000,18.22,4.8889,0.2399
89.0000,18.22,4.9444,0.2026
90.0000,18.22,5.0000,0.2397
91.0000,18.22,5.0556,0.2026
92.0000,18.14,5.1111,0.2399
93.0000,18.22,5.1667,0.4348
94.0000,18.22,5.2222,0.1652
95.0000,18.14,5.2778,0.3898
96.0000,18.22,5.3333,0.3829
97.0000,18.22,5.3889,0.3447
98.0000,18.22,5.4444,0.3656
99.0000,18.22,5.5000,0.3611
100.0000,18.22,5.5556,0.4953
101.0000,18.14,5.6111,0.5865
102.0000,18.22,5.6667,0.1278
103.0000,18.22,5.7222,0.4127
104.0000,18.22,5.7778,0.0520
105.0000,18.22,5.8333,0.1501
106.0000,18.22,5.8889,0.5154
107.0000,18.22,5.9444,0.5889
108.0000,18.22,6.0000,0.1852
109.0000,18.22,6.0556,0.1703
110.0000,18.22,6.1111,0.4473
111.0000,18.22,6.1667,0.6895
112.0000,18.22,6.2222,0.3269
113.0000,18.22,6.2778,0.4708
114.0000,18.30,6.3333,0.5038
115.0000,18.14,6.3889,0.8045
116.0000,18.22,6.4444,0.5993
117.0000,18.22,6.5000,0.1743
118.0000,18.22,6.5556,0.2512
119.0000,18.22,6.6111,0.3150
120.0000,18.22,6.6667,0.2880
121.0000,18.22,6.7222,0.4994
122.0000,18.22,6.7778,0.9084
123.0000,18.22,6.8333,0.7451
124.0000,18.22,6.8889,0.4540
125.0000,18.22,6.9444,0.3472
126.0000,18.14,7.0000,0.1418
127.0000,18.22,7.0556,0.7747
128.0000,18.22,7.1111,0.2712
129.0000,18.22,7.1667,0.2991
130.0000,18.14,7.2222,0.6855
131.0000,18.14,7.2778,0.2005
132.0000,18.14,7.3333,0.4733
133.0000,18.14,7.3889,0.2331
134.0000,18.14,7.4444,0.0261
135.0000,18.22,7.5000,0.3991
136.0000,18.22,7.5556,0.3223
137.0000,18.14,7.6111,0.2908
138.0000,18.22,7.6667,0.3924
139.0000,18.22,7.7222,0.1308
140.0000,18.14,7.7778,0.2543
141.0000,18.22,7.8333,0.0761
142.0000,18.22,7.8889,0.4117
143.0000,18.22,7.9444,0.2599
144.0000,18.22,8.0000,0.2204
145.0000,18.22,8.0556,0.5083
146.0000,18.22,8.1111,0.2677
147.0000,18.22,8.1667,0.3508
148.0000,18.22,8.2222,0.3010
149.0000,18.22,8.2778,0.1306
150.0000,18.22,8.3333,0.3661
151.0000,18.22,8.3889,0.3247
152.0000,18.22,8.4444,0.4059
153.0000,18.22,8.5000,0.6137
154.0000,18.22,8.5556,0.2213
155.0000,18.22,8.6111,0.3104
156.0000,18.22,8.6667,0.1499
157.0000,18.22,8.7222,1.3030
158.0000,18.30,8.7778,0.2545
159.0000,18.22,8.8333,0.1547
160.0000,18.22,8.8889,0.3860
161.0000,18.30,8.9444,0.3906
162.0000,18.22,9.0000,0.2506
163.0000,18.22,9.0556,0.1468
164.0000,18.22,9.1111,0.3431
165.0000,18.22,9.1667,0.2583
166.0000,18.22,9.2222,0.5698
167.0000,18.22,9.2778,0.3847
168.0000,18.22,9.3333,0.0464
169.0000,18.22,9.3889,0.6168
170.0000,18.22,9.4444,0.2380
171.0000,18.22,9.5000,0.6474
172.0000,18.22,9.5556,0.5165
173.0000,18.22,9.6111,0.8259
174.0000,18.22,9.6667,0.6556
175.0000,18.30,9.7222,0.7745
176.0000,18.22,9.7778,1.7218
177.0000,18.22,9.8333,0.5456
178.0000,18.22,9.8889,0.5812
179.0000,18.14,9.9444,0.2949
